model,rho,eta,seeds,transient_fraction,va_mean,va_std,s_mean,s_std
vicsek,0.1061,0.0,50,0.5,0.9814248973850459,0.0983715034748785,0.9354920495321872,0.1051928394596954
vicsek,0.1061,0.25,50,0.5,0.9380929717473009,0.05389525479264014,0.8081677545621752,0.11889260596083133
vicsek,0.1061,0.5,50,0.5,0.8365824800079968,0.06822871495078939,0.7591975518832469,0.08902124367870098
vicsek,0.1061,0.75,50,0.5,0.7413744333146741,0.06890608179539473,0.6810469466773291,0.09924160523053138
vicsek,0.1061,1.0,50,0.5,0.621088992355058,0.07091884748161964,0.5789386463494602,0.0904719425856718
vicsek,0.1061,1.5,50,0.5,0.478188464630148,0.06179252428784163,0.442633718712515,0.08915727636336436
vicsek,0.1061,2.0,50,0.5,0.3871070719472211,0.04223872323920806,0.3492884173210717,0.07167805841152063
vicsek,0.1061,2.5,50,0.5,0.3379846344982007,0.029881545605221563,0.2875574579848061,0.06243158769503296
vicsek,0.1061,3.0,50,0.5,0.30414583740103956,0.016015778014335895,0.242271591387445,0.05208459435555317
vicsek,0.1061,3.5,50,0.5,0.2864919019672131,0.00877300242348441,0.2132686642542983,0.0374499131476214
vicsek,0.1061,4.0,50,0.5,0.27959780813274693,0.0051867097325147705,0.20086999672131153,0.0331699506200109
vicsek,0.1061,4.5,50,0.5,0.2734859287405038,0.004018698740613697,0.1969675633426629,0.041083799685276194
vicsek,0.1061,5.0,50,0.5,0.27116619280287885,0.003051307555267793,0.1936961482047181,0.03789634243432382
vicsek,0.1061,5.5,50,0.5,0.26965339082766887,0.002825772411920578,0.18949346796481406,0.03442166287918798
vicsek,0.1061,6.28,50,0.5,0.26820110803678526,0.0026533267311795606,0.18851495142742902,0.04050800165040931
vicsek,0.1592,0.0,50,0.5,0.99960419187525,0.001662616210813221,0.9542777888844463,0.10132545074540793
vicsek,0.1592,0.25,50,0.5,0.9466635133466613,0.04514195214821027,0.7758171731307476,0.12393074401473525
vicsek,0.1592,0.5,50,0.5,0.8697070460455817,0.06475541652969863,0.7666813274690124,0.11287172228712843
vicsek,0.1592,0.75,50,0.5,0.7564502499160336,0.06822380391851855,0.6836695321871251,0.09353532427987712
vicsek,0.1592,1.0,50,0.5,0.657578262734906,0.0794954326229231,0.6146371451419432,0.09860394551564276
vicsek,0.1592,1.5,50,0.5,0.5046010065013994,0.05902485961757229,0.48980607756897243,0.08490515836765243
vicsek,0.1592,2.0,50,0.5,0.3730496255977609,0.04096353252566346,0.35489004398240703,0.06474016707347487
vicsek,0.1592,2.5,50,0.5,0.30812556379848066,0.021666850315965627,0.2783446621351459,0.04898982672642378
vicsek,0.1592,3.0,50,0.5,0.26806220229508193,0.01740149383679307,0.23370251899240302,0.048989574584425204
vicsek,0.1592,3.5,50,0.5,0.2500214927788884,0.007024767350784328,0.2114794082367053,0.031163607587284935
vicsek,0.1592,4.0,50,0.5,0.23522413016393443,0.005365522504489049,0.18276389444222313,0.03474106733541853
vicsek,0.1592,4.5,50,0.5,0.2282401729868053,0.002824905541318526,0.16653288684526188,0.022498374436273876
vicsek,0.1592,5.0,50,0.5,0.22623854403038784,0.002537594130726281,0.172265593762495,0.02825730431947076
vicsek,0.1592,5.5,50,0.5,0.22362107850459814,0.0022145833170512147,0.16503848460615753,0.03230687306194195
