k,t_fit_end_s,runs,D_m2_s,D_std_m2_s,t90_mean_s,t90_std_s
1,1.0,20,0.019129249893936814,0.001497918627850973,21.063996850000002,2.7303045349886346
2,1.0,20,0.0180689528880035,0.0018119276504254874,20.5427861,2.0771994574873336
3,1.0,20,0.017128133376033406,0.0012701483576514226,20.28072705,3.1520784089480665
4,1.0,20,0.016566594759677315,0.0012134711196769474,19.977059599999997,2.309484204916131
5,1.0,20,0.016557395222298155,0.0016281543650874257,18.69191565,1.7052207188290989
6,1.0,20,0.014793307515128983,0.0009644914118883374,18.228147300000003,2.0424516514551327
7,1.5,20,0.012804622087240241,0.001285323333274299,18.026896750000002,1.8671359721138312
8,1.5,20,0.011591848801594588,0.0009539618475821364,17.211453350000003,2.343522756022567
9,1.5,20,0.01120482555686501,0.0009162456961662806,17.1564656,2.11530349117046
10,1.5,20,0.010532767118504961,0.0008339332505978705,16.6842662,1.9164298447415347
11,1.5,20,0.010052956819587516,0.0008956025879555042,15.4128639,2.1833774014940563
12,1.5,20,0.009183437730576305,0.000777656691769278,15.605567300000004,2.140980155511344
13,1.5,20,0.008301511320734752,0.0009585252405994549,14.738358949999997,1.631856398239311
14,2.0,20,0.007169346636565948,0.0007873496852583082,14.685281900000001,1.6917207959664806
15,2.0,20,0.006148490549613592,0.0006123882286444124,15.351535700000003,1.3840194022273682
16,3.0,20,0.004820157157437865,0.0003549647068720441,14.7603506,1.6565515206198818
17,3.5,20,0.004034142701814433,0.0003063688353646507,14.939258650000003,1.6382518373252655
18,4.5,20,0.0032124855040715937,0.00036661086263758454,14.542950299999998,1.6978743078079501
19,4.5,20,0.002807772848030632,0.0002662253105350716,15.046886049999998,2.0805650233531954
20,5.0,20,0.0023731285999540816,0.00027568072270601124,15.6673223,2.104390275283233
21,6.0,20,0.001724911951927429,0.00023304290757378504,17.733223450000004,2.051748804662128
22,7.0,20,0.0012364134209019444,0.0001216454761584558,23.4440034,3.3498745630794566
