value,K,runs,t90_mean_s,t90_std_s,no_alcanzado,no_generado
1,13,100,21.047897209999995,2.6511109065491363,0,0
2,26,100,21.060656139999995,2.475608036564,0,0
3,39,100,19.999152159999998,2.3502936083119432,0,0
4,52,100,19.657807780000002,2.4092560644802035,0,0
5,65,100,19.25227445,2.114726311052058,0,0
6,78,100,18.23587557,2.1035474665008556,0,0
7,91,100,18.00668501,2.420186404935169,0,0
8,104,100,17.10829679,2.1015056468677638,0,0
9,117,100,16.94347084,1.9975527967047488,0,0
10,130,100,16.934002,2.087533543592374,0,0
11,143,100,16.12636307,2.051238730532527,0,0
12,156,100,15.619397009999998,1.9501095200766354,0,0
13,169,100,15.2500293,1.8360858646126037,0,0
14,182,100,14.88675712,2.058426750386163,0,0
15,195,100,14.689039480000002,1.9130421934315736,0,0
16,208,100,14.383037760000002,1.8224545360621311,0,0
17,221,100,14.555124409999998,1.7316705257159388,0,0
18,234,100,14.32325815,1.5554709531048,0,0
19,247,100,14.764276349999998,1.889909177924917,0,0
20,260,100,16.11689915,2.117916353765765,0,0
21,273,100,18.125480819999996,2.0881281101756533,0,0
22,286,100,22.646622239999996,3.2147310042934665,0,0
