k,n,K,runs,t90_mean_s,t90_std_s,no_alcanzado,no_generado
9,1,157,20,16.766085150000002,2.1222798646650154,0,0
9,2,197,20,15.584425000000001,2.0982079891990537,0,0
9,3,237,20,16.8095754,1.877598127164495,0,0
9,4,277,20,19.89485735,3.0202138028614405,0,0
9,5,317,20,30.967896649999993,5.448119824769838,0,0
10,1,166,20,15.75313725,2.050436386537391,0,0
10,2,202,20,15.25245865,2.2802204348718766,0,0
10,3,238,20,16.101942700000002,1.360321658491422,0,0
10,4,274,20,19.376689750000004,2.811699505957766,0,0
10,5,310,20,29.7556394,3.326426777933444,0,0
11,1,179,20,14.662473850000001,1.5381882784765524,0,0
11,2,215,20,14.677431200000001,1.5950192682702053,0,0
11,3,251,20,14.9745723,1.4535340436835897,0,0
11,4,287,20,19.069195399999998,2.579296656256189,0,0
11,5,323,20,31.778124999999996,4.2805869468686675,0,0
12,1,188,20,15.3935574,1.9260792268798674,0,0
12,2,220,20,14.5920582,1.992937700103823,0,0
12,3,252,20,15.789025449999997,2.050746280618517,0,0
12,4,284,20,19.327494699999995,2.2224851185356522,0,0
12,5,316,20,34.2230963,3.4132585131551667,0,0
13,1,201,20,14.29736115,1.8774024321372524,0,0
13,2,233,20,14.414070149999997,1.6387692157419873,0,0
13,3,265,20,15.288823800000003,2.3696542377266683,0,0
13,4,297,20,18.977567450000002,2.239565802066705,0,0
13,5,329,10,37.059383399999994,5.447858571533166,0,10
14,1,210,100,14.169093149999998,1.7109688066133961,0,0
14,2,238,100,14.065110259999999,1.3476447688635553,0,0
14,3,266,100,15.522513269999997,1.9099213552360645,0,0
14,4,294,100,19.46106978,2.746506066331816,0,0
14,5,322,0,nan,nan,0,20
15,1,223,100,13.868452300000001,1.8360431350563873,0,0
15,2,251,100,13.82244733,1.7244114683743348,0,0
15,3,279,100,15.44323662,1.8776735727091598,0,0
15,4,307,100,21.021412410000003,2.496727520880588,0,0
15,5,335,0,nan,nan,0,20
16,1,232,100,14.18807292,1.7136155555569519,0,0
16,2,256,100,14.105857270000001,1.6844719868207771,0,0
16,3,280,100,15.72609116,1.8412512859796928,0,0
16,4,304,99,22.746062030303033,2.6690202585612686,0,1
16,5,328,0,nan,nan,0,20
17,1,245,100,13.73448582,1.7302597156814783,0,0
17,2,269,100,14.18874152,1.4707784406375803,0,0
17,3,293,100,16.44537084,1.7155644643357209,0,0
17,4,317,21,25.91048271428571,3.2979381780215364,0,79
17,5,341,0,nan,nan,0,20
